"Contr1" "Contr2" "Contr3" "Contr4" "Tox1" "Tox2" "Tox3" "Tox4"
"1" 770.550691478925 888.990574492705 782.600058026032 629.578477903127 466.772835985761 731.166908685296 520.782464530284 1022.0105782637
"2" 222.001656096393 235.930619476161 237.729221201222 337.756545372328 205.237344975008 238.032538837806 216.435524952163 291.647495384662
"3" 420.442410682281 780.784771360759 481.497328508191 332.360641773786 371.5683752154 344.721518199257 364.486259486813 388.590871930287
"4" 1351.99921174838 371.070371044318 443.718971220763 612.115522525311 329.773206205376 433.180727432167 397.904945820613 335.2193476963
"5" 159.315521410767 192.019070794456 171.570295121718 166.633645360804 168.386744243701 214.922000270223 164.504060639971 169.168303498826
"6" 241.655408517955 276.008184020585 478.466872281742 210.805614864251 386.960290245623 280.953954683787 280.062265212604 442.525729216873
"7" 345.617235421591 331.380690957289 210.20446019678 359.727208860703 236.593605527745 538.582043688276 228.423761628316 425.817338480832
"8" 154.512478879802 206.4415270206 314.093357684982 176.019903409605 178.31323610305 164.58752156964 170.028891333523 151.123399445994
"9" 348.118915915972 264.350709383305 346.122788710437 294.736457360622 355.256051603722 388.781197264967 313.114170604151 378.576293966993
"10" 286.892593268674 258.047744089575 281.617577164584 298.573170846867 279.458632362464 349.408421782325 289.8911198469 318.657764580835
"11" 1022.64653258983 631.415034007668 551.287430608838 776.966317335455 674.876053603784 687.03419882187 712.231227979354 914.474630387974
"12" 306.147516820554 291.573790942203 306.770569019046 255.253294387243 246.487531800684 276.120323026028 324.7908071291 281.097288427245
"13" 297.524189394354 271.464548854483 285.613906849846 256.51956648296 288.717964767694 254.402231798167 264.41182643706 289.44326980313
"14" 307.21922636528 332.298050342674 347.566295387327 328.314498055097 536.300883942196 379.993541336993 357.452325675454 375.893414570676
"15" 66208.7689239651 71351.4722543826 49598.5376751245 66872.5363793283 58973.8439589951 62914.339925138 23148.4915276447 88788.9818457573
"16" 509.044649294537 518.380907965319 425.895360195118 466.01397860101 336.433836560643 460.603499308592 424.804379756648 522.583166043807
"17" 959.782349747677 668.912142488302 786.631335442598 738.678341620982 655.459225462322 494.689365191092 674.969365260192 694.505057482609
"18" 71826.5397680449 74494.0746739805 62728.3647623235 82910.503406718 80836.0598946248 78735.3625808686 65178.3883493546 89927.993329967
"19" 171.677162836577 207.610496537779 206.810821069557 677.676415290546 208.090691955097 203.664901522931 191.061646146153 264.111432204178
"20" 434.969040943812 2027.71516824811 360.264475194823 781.672897607804 681.283811457995 802.02121591781 742.685855736704 726.962627178467
"21" 349.277888295945 496.429701658258 633.931568311456 395.745654962003 552.094507389618 582.608071570306 436.28223970792 574.508392476229
"22" 268.074415030057 209.783206670278 220.631701338293 274.645857337521 259.020933282793 368.623726761052 328.708397480096 241.450131935356
"23" 787.236604562628 760.424924280834 740.362337323804 691.619638827561 458.708582283332 431.664775089683 426.056231749071 423.343106021935
"24" 231.067827770823 471.261244028663 318.926843071609 245.367095561506 332.062136269261 429.813639221305 337.826275793449 328.371702648736
"25" 1436.96748079041 1110.19093622152 2214.34455835214 1359.62917713934 802.221786682064 847.91081111466 1534.68420138177 1000.11361339958
"26" 15697.1565540435 7603.06048024467 11375.256102015 9952.34962702845 8014.7468012551 7564.47546379442 6190.01905637376 11026.2132950517
"27" 684.454796292486 779.869838772536 695.49599665219 725.213253073652 984.257423336706 1980.29370162159 1026.53553753714 5187.24159088403
"28" 1738.52694444391 1073.50075762625 843.413630484728 1430.08304252283 1568.08427282922 1320.73831973278 1114.1721077825 1338.02817074455
"29" 903.47855072122 776.438436945297 739.178387540739 758.813245616887 693.368047975368 690.11765949051 734.009345137642 835.071456334064
"30" 82985.9023246125 80497.4143965142 55947.4934693416 71342.9316476551 81282.1305357063 77787.3365370408 87617.3281159275 86720.0785666745
"31" 2873.91934868906 3023.12737104442 3588.94616862722 2463.62482715271 2279.60833461917 5119.59372174197 4337.91984866946 4981.05186472442
"32" 1279.07976790575 826.077135715431 899.61521853346 754.886984795983 751.003642265747 739.80601708491 676.214943693371 686.526288355504
"33" 557.191432186516 357.104292325174 646.569241822314 473.950290156543 669.8864199639 617.925047671254 778.691735371318 724.164215523904
"34" 211.449184911919 202.685986513394 280.329131468564 229.917836639116 228.088522716972 232.056473370369 174.378860844218 233.976088610088
"35" 699.10508601536 681.26067440721 626.149884319059 694.54775844214 663.259176323337 516.031367918398 1060.18553884039 599.123479974924
"36" 999.053182966188 1275.62429305423 1345.13248156671 864.310464956578 1396.14539229286 1701.17405212954 2024.73791090993 1488.63911238691
"37" 949.43625512511 1071.11026648516 809.72906644239 1301.18494378623 463.659871912435 522.649521155518 598.684145352965 639.381670483467
"38" 308.64474596193 931.60689929605 232.286869154872 378.859768475762 312.974610411116 570.435384641021 467.371513476526 527.989350645448
"39" 203.227960029357 208.792284923272 237.629600850696 206.576686079313 232.177617729656 214.858785545905 205.666409207686 208.527159707366
"40" 254.6282571577 243.201120053312 193.648699553764 174.310417338441 189.032282297597 119.527144668298 233.725801551026 245.607636830403
"41" 162.482860296581 150.702611238192 158.492789068112 141.059748821759 176.920252701105 188.159419391615 128.948915859127 173.850042213983
"42" 224.165172905205 316.864028099166 221.900803591705 345.732926517386 496.442617392309 368.214474788826 280.875301985859 331.04534231021
"43" 418.541227650028 406.918419408625 381.214452001972 366.858309692289 289.713492483434 526.923839091774 445.875886829587 335.609151039506
"44" 1571.1053870768 1000.03098219036 1115.87972453107 1217.95077042663 1312.35288831808 1551.32471088423 1357.75416620964 1428.80866478281
"45" 354.177928936401 498.649667784106 430.473325220175 522.029460085635 485.917612652253 559.405858297199 439.643145383397 175.628004590367
"46" 246.318675593613 237.022229191179 302.411203974686 284.259048823959 133.405991544259 158.731008743563 200.406914389581 265.423178728298
"47" 767.966246162325 772.203365697604 815.948381622075 634.59242522044 937.346083344233 786.113669926549 761.853027792897 899.006048928153
"48" 482.823855265794 353.392447597542 433.823070297895 358.963047626032 329.356216724724 286.947730041813 317.614787641001 336.354381017879
"49" 344.660515979855 362.186134533167 357.218373881206 288.22178465726 740.932693206644 355.423113030112 470.181435270281 591.808066974495
"50" 1076.43134328019 1213.44615228207 1170.69718910737 1563.81436133928 916.183926847975 792.542699880506 940.957167512168 1083.88363308058
"51" 53287.7035976131 44384.9311337588 47129.0581507598 43670.6138457827 30853.9182446284 31288.9064020343 30378.8532618046 27780.6892669707
"52" 553.352020302711 559.890823914556 606.226272597424 688.93153949052 459.697103482895 435.384391777233 454.951169603627 440.043278784514
"53" 229.355361386726 303.517106725065 274.134531207172 296.192685936553 222.343587963315 225.137048043259 244.463706101176 221.233726169127
"54" 344.440008810482 369.145438863576 321.95364107637 365.312089184092 267.02461701348 254.962466103247 274.88019057472 315.783313431837
"55" 259.025908066338 260.174104191932 325.903378372981 243.241191421149 277.059850440334 208.577303933951 231.914972467746 234.639806923738
"56" 234.91087495828 220.799524329918 240.977059058214 684.907790938195 273.277834029912 285.722994209263 189.948510626682 303.048646013061
"57" 421.280337150661 484.458504302496 349.591089852271 375.267163641577 499.744638735283 410.315435502944 389.354471946479 403.42897753221
"58" 297.672982099532 342.13969046631 358.145367370608 383.240334298252 377.0777642611 565.230276778205 488.502771257757 710.367387264146
"59" 284.725241627353 177.449781565631 158.485559908282 218.506108645127 161.327358128839 222.524718378351 209.448336619866 179.921869126188
"60" 1673.42352914512 1520.53985927713 255.019777054991 1735.19279212929 2361.72188212589 1219.14197666166 1666.5761025137 2355.00345405565
"61" 90110.461675015 95512.6155185086 66443.5135457995 97095.662380369 79585.4302553856 87858.797091597 60986.7386193424 86332.6805254837
"62" 286.988963563684 1358.92162390092 613.594710449047 506.3662224387 714.925314471242 633.859251656289 567.26017763579 781.49418488288
"63" 1206.09447585659 1202.75429998095 1293.90687267706 2530.33095278451 1854.64696119973 3177.33855983657 2243.36345073795 4870.62456056867
"64" 288.012813446389 202.553405976974 351.016940582565 283.489514708096 175.69806415912 236.048315536801 196.447100948103 227.759967626757
